,title,channel_name,links,date_&_time,channel_subscribe
0,web scraping using python for beginners,Hitesh Choudhary,https://www.youtube.com/watch?v=0_VZ7NpVw1Y,"18 Feb 2023,
          18:11:29 IST",Channel title
1,Web Scraping Tutorial using Python and BeautifulSoup in  Hindi,CodeWithHarry,https://www.youtube.com/watch?v=uufDGjTuq34,"18
          Feb
          2023, 18:11:16 IST",Dhruv Rathee
2,समस्या को सुलझाया,Deepak Rawat IAS,https://www.youtube.com/watch?v=zCWe93oOZDw,"18 Feb 2023,
          17:59:58 IST",Dua Lipa
3,NIVIA ENCOUNTER 9.0 FOOTBALL STUDS,A1 TECHTUBER,https://www.youtube.com/watch?v=EwThfmR_tnk,"18 Feb 2023, 17:48:35
          IST",Mohit Chhikara
4,How To Repair And Puncher A Football,Never Give Up,https://www.youtube.com/watch?v=M71JiV5swNE,"18 Feb 2023, 17:44:06
          IST",Daan Hokke
5,How to Remove a Football Puncture - Without Breaking the  Skin #Football,Prashant Patil,https://www.youtube.com/watch?v=jhXhOL8hRaA,"18 Feb 2023, 17:42:35 IST",Ed Sheeran
6,How to fix puncture in a ball 🏀 .. #youtubeshorts  #funnyshorts #footballshorts #villagelife,Mr. Athlete,https://www.youtube.com/watch?v=jD1jppBzp78,"18 Feb 2023, 17:41:22
          IST
        ",CarryisLive
7,UEFA Champions League Explained HINDI | Club World Cup  Qualifications & Format | Football 101 #2,Talk Football HD,https://www.youtube.com/watch?v=0aYVbkh6WcM,"18 Feb 2023,
          12:46:42 IST",AllAttack
8,UEFA Europa League Explained,Snowman Sports Media,https://www.youtube.com/watch?v=M-y2OXv3asY,"18 Feb 2023,
          12:46:35 IST",Shemaroo Comedy
9,"Spot the bug, I challenge you! 👨‍💻",CodeWithHarry,https://www.youtube.com/watch?v=bgM7BVwkqMo,"18 Feb 2023, 11:48:56
          IST",GeeksforGeeks
10,Opening and Closing Rank of IIT for Computer Science  (CSE) Branch | IIT Cutoff #eSaral,"eSaral - JEE, NEET, Class 9 & 10  Preparation",https://www.youtube.com/watch?v=Njcq2emvQQM,"18 Feb 2023, 11:47:13 IST",Adam Saleh
11,🔥Safe score for IIT for SC/ST candidate | General rank  vs SC/ST rank JEE Advanced 2021 | #iit #jee,Fast and STUDious - Ajay Singh,https://www.youtube.com/watch?v=rFwxPls1kDM,"18
          Feb
          2023, 11:46:45 IST",PudgeS
12,Harsh Reality of Studying at IITs!,Harnoor Singh,https://www.youtube.com/watch?v=bw5VXi3vZTg,"18 Feb 2023, 11:46:17
          IST",Kapil Sharma
13,It's OKAY to not get into IIT!,Scholar Strategy by Nistha  Tripathi,https://www.youtube.com/watch?v=pulpWOGZbeM,"18 Feb 2023, 11:46:08 IST",Entertainment Daily
